	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000205456	UBTD1	42	84	73	72	55	69
ENSG00000205457	UBTD2	182	302	397	211	340	181
ENSG00000261509	UBTF	233	404	435	352	392	357
ENSG00000124251	UBTFL1	0	0	0	0	0	0
ENSG00000073282	UBXN1	499	1259	1466	1201	1476	397
ENSG00000078900	UBXN10	17	76	88	106	117	7
None	UBXN10-AS1	33	38	71	49	80	20
ENSG00000146242	UBXN11	108	175	280	322	222	46
ENSG00000261594	UBXN2A	108	110	305	166	163	73
ENSG00000186815	UBXN2B	386	357	365	587	543	287
ENSG00000162341	UBXN4	1060	2345	3517	2408	3208	1360
ENSG00000076554	UBXN6	668	1160	1196	1541	1404	1034
ENSG00000111907	UBXN7	150	170	239	234	202	142
ENSG00000101150	UBXN8	323	660	731	598	1004	257
ENSG00000170777	UCA1	7	0	0	0	0	0
ENSG00000141933	UCHL1	37351	112564	113822	122975	147704	29839
ENSG00000134779	UCHL1-AS1	7	17	0	1	11	0
ENSG00000129167	UCHL3	222	541	496	649	718	198
ENSG00000139287	UCHL5	617	1442	1718	1334	1677	569
ENSG00000111669	UCK1	213	399	492	536	572	405
ENSG00000230359	UCK2	282	590	491	672	655	269
ENSG00000293205	UCKL1	56	141	153	159	180	59
ENSG00000186743	UCKL1-AS1	52	62	39	65	39	76
ENSG00000196511	UCMA	0	0	0	0	0	0
ENSG00000140416	UCN	7	37	13	8	13	30
ENSG00000198467	UCN2	4	0	0	0	0	1
ENSG00000143549	UCN3	2	0	0	0	0	0
ENSG00000241015	UCP1	4	0	2	0	0	2
ENSG00000293185	UCP2	48	6	4	12	32	2
ENSG00000167460	UCP3	2	5	1	0	2	0
ENSG00000137364	UEVLD	79	30	85	73	88	47
ENSG00000115705	UFC1	1057	1985	2286	1944	2476	230
ENSG00000166340	UFD1L	270	898	1463	959	1503	214
ENSG00000134900	UFL1	285	427	566	392	443	448
ENSG00000171368	UFM1	799	1613	1763	1783	2125	917
ENSG00000179636	UFSP1	28	34	11	33	39	25
ENSG00000159713	UFSP2	276	589	823	630	731	281
ENSG00000047410	UG0898H09	146	225	299	167	177	115
ENSG00000163870	UGCG	589	1164	1281	926	1458	576
ENSG00000188001	UGDH	123	214	186	152	172	86
ENSG00000234076	UGDH-AS1	4	8	53	7	18	21
ENSG00000230115	UGGT1	168	448	370	328	339	169
ENSG00000158109	UGGT2	113	229	232	156	195	113
ENSG00000144034	UGP2	1161	2270	2659	3008	3639	938
ENSG00000176058	UGT1A1	0	0	3	0	0	0
ENSG00000178928	UGT1A10	0	0	0	0	0	0
ENSG00000180438	UGT1A3	3	0	0	0	0	0
ENSG00000292995	UGT1A4	5	0	0	0	2	0
ENSG00000172236	UGT1A5	1	0	0	0	0	0
ENSG00000197253	UGT1A6	3	1	0	0	0	0
ENSG00000095917	UGT1A7	1	0	4	0	0	0
ENSG00000116176	UGT1A8	0	1	1	1	0	0
ENSG00000169902	UGT1A9	1	0	0	0	0	0
ENSG00000128294	UGT2A1	1	1	0	0	0	0
ENSG00000133112	UGT2A2	0	0	0	0	0	0
ENSG00000170919	UGT2A3	0	2	1	0	1	0
ENSG00000274391	UGT2B10	0	0	0	1	0	2
ENSG00000132958	UGT2B11	2	1	5	0	0	0
ENSG00000253771	UGT2B15	0	0	0	1	0	0
ENSG00000244471	UGT2B17	1	0	0	1	0	0
ENSG00000168852	UGT2B28	2	0	1	0	0	0
ENSG00000205822	UGT2B4	2	0	1	0	0	6
ENSG00000100181	UGT2B7	0	3	3	0	0	2
ENSG00000290418	UGT3A1	9	2	0	2	0	0
ENSG00000088325	UGT3A2	21	10	6	44	30	16
ENSG00000164548	UGT8	90	115	134	22	79	29
ENSG00000136527	UHMK1	4081	8564	9709	8667	12427	5608
ENSG00000170638	UHRF1	12	0	1	1	0	2
ENSG00000186854	UHRF1BP1	147	231	474	446	450	254
ENSG00000269113	UHRF1BP1L	549	667	960	1031	1269	510
ENSG00000102871	UHRF2	233	281	388	253	218	85
ENSG00000056558	UIMC1	103	89	72	115	93	10
ENSG00000127191	ULBP1	0	0	0	0	0	0
ENSG00000131323	ULBP2	1	0	0	11	1	0
ENSG00000204104	ULBP3	5	2	2	0	2	1
ENSG00000056972	ULK1	336	413	507	515	545	457
ENSG00000231889	ULK2	416	443	499	442	343	415
ENSG00000009790	ULK3	351	584	686	496	582	428
ENSG00000076604	ULK4	9	14	20	16	93	31
ENSG00000082512	ULK4P1	0	0	0	0	0	0
ENSG00000175104	ULK4P2	0	0	0	0	0	0
ENSG00000131653	ULK4P3	0	1	0	0	0	0
ENSG00000135148	UMAD1	358	771	872	658	827	346
ENSG00000183763	UMOD	2	1	0	0	1	0
ENSG00000182606	UMODL1	6	5	1	2	4	0
ENSG00000115993	UMODL1-AS1	14	0	6	2	0	0
ENSG00000067167	UMPS	111	157	159	147	227	66
ENSG00000174599	UNC119	312	816	1337	978	1086	716
ENSG00000065308	UNC119B	290	363	463	414	466	393
ENSG00000225791	UNC13A	687	1187	1436	1428	1557	1197
ENSG00000168016	UNC13B	136	283	327	164	298	226
ENSG00000126602	UNC13C	500	1458	2712	4616	7143	1011
ENSG00000170043	UNC13D	11	56	0	3	1	0
ENSG00000160218	UNC45A	250	795	912	1097	1293	501
ENSG00000168538	UNC45B	1	0	2	0	0	0
ENSG00000171853	UNC50	489	782	1380	766	1016	297
ENSG00000113597	UNC5A	41	120	116	69	28	49
ENSG00000196459	UNC5B	39	48	8	15	11	4
ENSG00000256060	UNC5B-AS1	14	0	1	0	0	0
ENSG00000167515	UNC5C	249	301	359	919	1069	254
ENSG00000054116	UNC5CL	5	4	0	6	4	0
ENSG00000173626	UNC5D	23	7	50	12	3	5
ENSG00000196655	UNC79	180	456	268	338	409	218
ENSG00000181029	UNC80	1277	2535	2111	2435	3646	1240
ENSG00000007255	UNC93A	2	0	1	0	0	4
ENSG00000182400	UNC93B1	14	5	2	1	0	0
ENSG00000153339	UNCX	3	20	6	5	8	0
ENSG00000167632	UNG	215	280	535	229	363	180
ENSG00000163519	UNK	39	48	103	49	47	18
ENSG00000107614	UNKL	814	1494	1554	1682	1289	582
ENSG00000186439	UNQ6494	0	3	0	7	0	0
ENSG00000118094	UOX	1	0	0	0	0	7
ENSG00000124731	UPB1	3	1	0	0	8	6
ENSG00000095970	UPF1	295	402	507	472	486	248
ENSG00000161911	UPF2	241	505	554	370	418	237
ENSG00000112195	UPF3A	88	197	337	212	288	48
ENSG00000184106	UPF3B	312	1009	1326	864	1433	523
ENSG00000188056	UPK1A	6	0	0	0	0	0
ENSG00000225690	UPK1A-AS1	0	0	0	0	0	0
ENSG00000124496	UPK1B	3	0	18	0	0	0
ENSG00000231265	UPK2	16	36	31	44	39	4
ENSG00000213689	UPK3A	2	0	35	0	1	0
ENSG00000183479	UPK3B	0	0	2	2	0	6
ENSG00000281103	UPK3BL	0	0	0	0	0	0
ENSG00000170893	UPP1	187	362	393	327	369	168
ENSG00000072657	UPP2	3	13	0	10	2	1
ENSG00000236333	UPRT	183	375	369	454	488	154
ENSG00000174417	UQCC1	690	1189	1272	1545	1973	815
ENSG00000170855	UQCC2	996	1835	3113	2919	2876	730
ENSG00000173334	UQCC3	218	807	1266	832	1241	134
ENSG00000071575	UQCR10	3821	7114	12265	10707	12844	2215
ENSG00000101255	UQCR11	3887	5648	9605	7277	8910	1399
ENSG00000255690	UQCRB	2381	6046	9224	7604	9948	2063
ENSG00000204613	UQCRBP1	27	86	128	145	163	34
ENSG00000154370	UQCRC1	1919	4367	6453	5534	7160	1667
ENSG00000204977	UQCRC2	1282	2893	3471	3567	4865	879
ENSG00000106785	UQCRFS1	438	1191	2077	1203	1825	393
ENSG00000204610	UQCRH	3295	7955	11017	9439	13101	3500
ENSG00000221926	UQCRHL	285	661	1046	877	1216	135
ENSG00000108448	UQCRQ	4890	10654	16200	13436	17300	2500
ENSG00000291110	URAD	0	0	0	0	0	0
ENSG00000162931	URAHP	32	106	85	122	51	37
ENSG00000109654	URB1	177	299	283	207	318	238
ENSG00000132109	URB1-AS1	100	214	445	296	350	124
ENSG00000132274	URB2	38	140	204	73	144	43
ENSG00000113595	URGCP	314	645	387	646	674	246
ENSG00000122779	URGCP-MRPS24	0	0	0	0	0	0
ENSG00000121060	URI1	517	681	1111	863	1225	385
ENSG00000234127	URM1	290	285	580	482	691	293
ENSG00000204713	UROC1	4	1	1	0	0	0
ENSG00000130726	UROD	674	1316	2015	1732	2471	496
ENSG00000137699	UROS	820	1545	2527	2313	2740	855
ENSG00000110171	USB1	246	469	590	509	662	383
ENSG00000204616	USE1	315	786	734	548	674	52
ENSG00000231226	USF1	11	17	3	4	17	7
ENSG00000119401	USF2	183	371	342	491	449	364
ENSG00000197323	USH1C	132	12	163	22	52	59
ENSG00000258659	USH1G	6	6	4	9	0	2
ENSG00000104228	USH2A	18	16	37	12	5	10
ENSG00000152503	USHBP1	1	2	0	2	7	4
ENSG00000108395	USMG5	2222	4359	7227	6081	6476	1144
ENSG00000112343	USO1	411	965	1073	925	1422	529
ENSG00000204599	USP1	297	696	444	484	505	366
ENSG00000241370	USP10	373	601	642	668	595	487
ENSG00000248167	USP11	3377	6949	6529	7330	7284	2993
ENSG00000146833	USP12	353	600	1042	1381	1290	526
ENSG00000204614	USP12-AS1	0	1	4	0	0	0
ENSG00000146063	USP12-AS2	17	5	0	6	0	0
ENSG00000155890	USP13	254	394	427	396	451	220
ENSG00000144015	USP14	867	1897	2157	2023	2750	1303
ENSG00000144010	USP15	379	958	786	870	1015	406
ENSG00000144015	USP16	296	727	928	733	779	303
ENSG00000166326	USP17L1	0	0	0	0	0	0
ENSG00000134253	USP17L10	0	0	0	0	0	0
ENSG00000163462	USP17L11	0	0	0	0	0	0
ENSG00000132481	USP17L12	0	0	0	0	0	0
ENSG00000150244	USP17L13	0	0	0	0	0	0
ENSG00000168930	USP17L15	0	0	1	0	0	0
ENSG00000182053	USP17L17	0	0	0	0	0	0
ENSG00000204449	USP17L18	0	0	0	0	0	0
ENSG00000223417	USP17L19	0	0	0	0	0	0
ENSG00000233802	USP17L2	0	0	1	0	0	0
ENSG00000233802	USP17L20	0	0	0	0	0	0
ENSG00000132256	USP17L21	0	0	0	0	0	0
ENSG00000146755	USP17L22	0	0	0	0	0	0
ENSG00000124900	USP17L24	0	0	0	0	0	0
ENSG00000166007	USP17L25	0	0	0	0	0	0
ENSG00000183718	USP17L26	0	0	0	0	0	0
ENSG00000248275	USP17L27	0	0	0	0	0	0
ENSG00000225581	USP17L28	0	0	0	0	0	0
ENSG00000138100	USP17L29	0	0	0	0	0	0
ENSG00000147573	USP17L3	2	0	0	0	0	0
ENSG00000169871	USP17L30	0	0	0	0	0	0
ENSG00000162722	USP17L4	0	0	0	0	0	0
ENSG00000213186	USP17L5	0	0	0	0	0	0
ENSG00000121236	USP17L6P	0	0	0	0	0	0
ENSG00000258588	USP17L7	1	0	0	0	0	0
ENSG00000176979	USP17L8	0	0	0	0	0	0
ENSG00000183439	USP17L9P	0	0	0	0	0	0
ENSG00000116525	USP18	4	7	0	0	15	2
ENSG00000158022	USP19	145	314	398	523	302	215
ENSG00000204450	USP2	34	74	54	44	33	22
ENSG00000189253	USP2-AS1	3	13	1	11	14	9
ENSG00000214891	USP20	202	465	490	570	546	384
ENSG00000141569	USP21	40	104	85	158	59	68
ENSG00000166436	USP22	3032	6324	4951	5094	5209	4751
ENSG00000119283	USP24	322	709	716	936	849	567
ENSG00000167333	USP25	312	380	436	401	457	236
ENSG00000185880	USP26	0	0	0	0	2	6
ENSG00000146054	USP27X	202	291	481	338	281	241
ENSG00000206557	USP27X-AS1	10	19	7	37	65	17
ENSG00000177238	USP28	111	86	90	218	114	93
ENSG00000178809	USP29	3	0	0	0	0	0
ENSG00000155428	USP3	61	76	186	45	80	32
ENSG00000178809	USP3-AS1	11	37	29	31	58	1
ENSG00000214414	USP30	228	197	450	240	225	225
ENSG00000171206	USP30-AS1	4	0	13	3	18	0
ENSG00000100505	USP31	442	602	803	768	742	424
ENSG00000184108	USP32	816	1258	1599	1920	2311	741
ENSG00000179046	USP32P1	63	93	94	30	51	7
ENSG00000038382	USP32P2	17	70	37	157	16	113
ENSG00000100106	USP33	1327	2590	2728	2341	2742	1227
ENSG00000125733	USP34	830	1798	1857	2044	2176	1043
ENSG00000100815	USP35	109	221	164	235	167	174
ENSG00000153827	USP36	78	50	84	54	55	72
ENSG00000071539	USP37	130	178	170	155	189	165
ENSG00000103671	USP38	136	221	233	162	180	80
ENSG00000087077	USP39	194	338	312	534	527	260
ENSG00000205133	USP4	358	625	730	566	651	264
ENSG00000043514	USP40	94	76	181	105	114	83
ENSG00000104907	USP42	88	244	148	249	184	96
ENSG00000145331	USP43	21	46	91	12	57	40
ENSG00000165275	USP44	16	8	9	0	1	6
ENSG00000174173	USP45	204	469	575	623	658	92
ENSG00000066651	USP46	657	943	1035	827	945	492
ENSG00000173113	USP46-AS1	10	3	4	3	9	4
ENSG00000183665	USP47	979	2535	2686	2124	2757	1010
ENSG00000122435	USP48	216	728	878	395	490	302
ENSG00000121486	USP49	48	48	100	126	48	39
ENSG00000099899	USP5	602	1303	1497	1504	1489	762
ENSG00000188917	USP50	15	90	14	69	99	29
ENSG00000155275	USP51	133	108	237	102	137	96
ENSG00000126814	USP53	444	572	692	1566	1173	616
ENSG00000089195	USP54	256	278	232	199	157	278
ENSG00000166166	USP6	3	5	42	8	15	8
ENSG00000171103	USP6NL	103	228	296	228	228	223
ENSG00000100416	USP7	1159	2306	2121	2736	2919	1762
ENSG00000180098	USP8	668	1489	2081	1654	2494	1295
ENSG00000253368	USP9X	1816	2778	2832	3500	3742	1871
ENSG00000072756	USP9Y	0	1019	0	0	1511	1
ENSG00000067445	USPL1	217	318	171	384	294	165
ENSG00000135451	UST	337	350	861	622	366	245
None	UTAT33	51	202	215	149	253	21
ENSG00000104321	UTF1	0	0	0	0	0	0
ENSG00000144935	UTP11L	376	1158	1362	1499	1609	355
ENSG00000182048	UTP14A	43	106	229	116	133	19
ENSG00000290962	UTP14C	233	433	599	347	599	92
ENSG00000138741	UTP15	97	224	198	323	417	102
ENSG00000133107	UTP18	121	419	420	242	436	78
ENSG00000100991	UTP20	140	232	259	184	337	174
ENSG00000072315	UTP23	151	292	397	272	394	142
ENSG00000204025	UTP3	124	236	271	244	314	135
ENSG00000137672	UTP6	112	273	280	180	215	82
ENSG00000069018	UTRN	554	893	617	751	633	496
ENSG00000134160	UTS2	0	1	0	0	0	0
ENSG00000142185	UTS2B	22	1	11	1	4	8
ENSG00000230061	UTS2R	1	1	0	1	0	0
ENSG00000083067	UTY	0	169	0	0	163	0
ENSG00000130529	UVRAG	180	284	472	431	487	271
ENSG00000070985	UVSSA	29	55	22	39	82	27
ENSG00000119121	UXS1	437	1108	633	584	469	225
ENSG00000092439	UXT	436	719	1004	1059	1185	281
ENSG00000144481	UXT-AS1	116	192	244	212	310	47
ENSG00000104447	VAC14	191	538	383	487	624	330
ENSG00000149743	VAC14-AS1	11	8	115	19	23	0
ENSG00000196689	VAMP1	1276	2226	1801	2175	2146	577
ENSG00000187688	VAMP2	16553	31787	36018	42093	48579	17791
ENSG00000167723	VAMP3	288	248	604	179	281	136
ENSG00000111199	VAMP4	1221	1586	1948	1715	2546	1266
ENSG00000127412	VAMP5	331	102	186	185	228	186
ENSG00000165125	VAMP7	659	1206	1480	1479	2057	494
ENSG00000196367	VAMP8	96	35	12	24	60	21
ENSG00000165832	VANGL1	15	51	63	54	15	52
ENSG00000167112	VANGL2	104	97	178	21	5	32
None	VAPA	3206	5818	7850	6804	9244	2647
ENSG00000163467	VAPB	1210	2465	2603	2826	3453	1927
ENSG00000165699	VARS	251	646	496	749	630	235
ENSG00000103197	VARS2	81	90	172	122	90	65
ENSG00000102804	VASH1	96	91	122	139	117	140
ENSG00000278156	VASH2	55	23	28	23	24	33
ENSG00000196428	VASN	33	72	61	72	46	32
ENSG00000157514	VASP	25	29	55	60	49	52
ENSG00000166925	VAT1	4674	7149	6465	8885	8119	5641
ENSG00000198860	VAT1L	1428	4323	3536	1673	2000	668
ENSG00000154743	VAV1	22	103	88	10	10	1
ENSG00000170892	VAV2	253	491	463	492	477	452
ENSG00000182173	VAV3	935	1707	961	1845	2892	1621
ENSG00000123297	VAV3-AS1	1	0	22	0	9	0
None	VAX1	2	0	0	7	5	0
ENSG00000074319	VAX2	0	7	0	0	0	0
ENSG00000135951	VBP1	1387	2911	3876	3282	4017	1163
ENSG00000175513	VCAM1	84	25	0	1	9	9
ENSG00000213265	VCAN	129	191	180	77	96	48
ENSG00000134200	VCL	294	578	552	425	408	364
ENSG00000165409	VCP	1185	3243	3567	3408	4638	1703
ENSG00000179981	VCPIP1	598	1045	1112	1564	1811	756
ENSG00000182463	VCPKMT	189	270	413	239	559	74
ENSG00000121297	VCX	0	0	0	0	0	0
ENSG00000270641	VCX2	0	0	0	0	0	0
ENSG00000126467	VCX3A	0	0	0	0	0	0
ENSG00000182704	VCX3B	0	0	2	0	1	0
None	VCY	0	0	0	0	0	0
ENSG00000145777	VCY1B	0	0	0	0	0	0
ENSG00000211460	VDAC1	1764	4360	5924	4664	5942	1451
ENSG00000171045	VDAC2	869	1793	2263	2089	2646	777
ENSG00000116918	VDAC3	3694	10810	11021	11784	15944	3119
ENSG00000270106	VDR	26	40	0	16	32	7
ENSG00000102904	VEGFA	256	238	480	552	482	339
ENSG00000117472	VEGFB	359	343	1200	859	505	422
ENSG00000182612	VEGFC	14	3	2	1	3	0
ENSG00000110900	VENTX	6	5	8	0	0	4
ENSG00000106025	VENTXP1	3	0	0	0	0	0
ENSG00000106537	VENTXP7	1	2	1	1	1	0
ENSG00000108219	VEPH1	1	27	12	1	0	6
ENSG00000099282	VEZF1	240	217	228	253	233	187
ENSG00000130167	VEZT	615	1120	1477	1206	1519	420
ENSG00000048140	VGF	47	164	390	218	107	87
ENSG00000157570	VGLL1	0	2	0	0	0	0
ENSG00000231738	VGLL2	2	1	2	0	0	0
ENSG00000134198	VGLL3	116	273	305	333	442	111
ENSG00000140391	VGLL4	297	422	712	535	724	305
ENSG00000135452	VHL	119	174	162	173	193	122
ENSG00000064201	VHLL	5	0	0	0	0	0
ENSG00000158457	VIL1	3	0	0	2	0	1
ENSG00000214063	VILL	32	58	90	31	31	14
ENSG00000168785	VIM	223	116	157	24	79	74
ENSG00000000003	VIM-AS1	4	0	0	0	15	0
ENSG00000156298	VIMP	349	579	790	388	655	310
ENSG00000127324	VIP	0	0	0	0	3	0
ENSG00000011105	VIPAS39	182	277	481	324	317	79
ENSG00000175894	VIPR1	19	0	1	0	0	7
ENSG00000235890	VIPR1-AS1	0	0	0	0	0	0
None	VIPR2	8	6	0	12	0	2
ENSG00000100300	VIT	2	1	0	0	0	1
ENSG00000112212	VKORC1	334	565	833	612	595	317
ENSG00000233803	VKORC1L1	533	1108	1735	1571	1640	786
ENSG00000238074	VLDLR	167	335	383	564	423	244
ENSG00000258992	VLDLR-AS1	14	53	27	8	18	29
ENSG00000228927	VMA21	1750	2433	3602	3251	4266	2273
ENSG00000236424	VMAC	11	19	18	17	8	3
ENSG00000168757	VMO1	2	16	99	32	18	6
ENSG00000258992	VMP1	752	1383	1699	1166	1886	523
ENSG00000301844	VN1R1	0	16	50	16	14	3
ENSG00000293164	VN1R10P	3	1	2	0	0	2
ENSG00000228927	VN1R2	0	0	1	0	0	0
ENSG00000236424	VN1R4	0	0	0	0	0	0
ENSG00000258992	VN1R5	0	0	0	0	0	0
ENSG00000228927	VNN1	0	0	5	0	1	0
ENSG00000233803	VNN2	5	5	0	0	0	0
ENSG00000229549	VNN3	0	3	0	0	0	0
ENSG00000258992	VOPP1	324	543	644	807	804	577
ENSG00000189241	VPRBP	109	130	43	168	202	35
ENSG00000184205	VPREB1	0	0	0	0	0	0
ENSG00000187189	VPREB3	6	35	19	2	30	7
ENSG00000180543	VPS11	464	806	767	1079	1416	676
ENSG00000178021	VPS13A	465	705	857	877	753	557
ENSG00000167721	VPS13A-AS1	7	10	10	14	15	1
ENSG00000158526	VPS13B	174	348	389	352	302	114
ENSG00000007520	VPS13C	803	1681	1539	1632	1789	952
None	VPS13D	447	910	684	1215	1097	831
ENSG00000223756	VPS16	183	368	530	451	488	105
ENSG00000184281	VPS18	259	411	274	588	624	387
ENSG00000212122	VPS25	169	582	772	855	815	323
ENSG00000206203	VPS26A	773	1073	1506	1503	1751	668
ENSG00000162526	VPS26B	443	869	919	821	952	542
ENSG00000139908	VPS28	1384	2986	3876	3891	4021	1091
ENSG00000178093	VPS29	1219	3086	3684	3478	4503	1057
ENSG00000128311	VPS33A	166	331	416	376	475	166
None	VPS33B	77	280	255	262	381	166
ENSG00000215845	VPS35	4639	7167	7891	8810	10922	3645
ENSG00000136925	VPS36	383	1156	1628	1523	1877	423
ENSG00000279170	VPS37A	499	856	1453	980	1429	752
ENSG00000146216	VPS37B	41	38	39	46	44	69
ENSG00000128881	VPS37C	83	99	62	80	119	108
ENSG00000113312	VPS37D	75	88	95	126	81	91
ENSG00000149292	VPS39	585	836	778	797	995	746
ENSG00000143643	VPS41	790	1630	2456	1879	2389	819
ENSG00000163728	VPS45	490	1089	1112	1105	1646	379
ENSG00000167094	VPS4A	518	1338	1760	1338	1497	1027
ENSG00000052841	VPS4B	1050	2088	3019	2108	2815	1061
ENSG00000011295	VPS50	1040	1796	1629	1704	1411	716
ENSG00000168026	VPS51	415	668	930	796	1023	418
ENSG00000123607	VPS52	179	434	518	418	692	216
ENSG00000224490	VPS53	500	1109	1163	1139	1174	832
ENSG00000006555	VPS54	88	149	74	200	78	103
ENSG00000103852	VPS72	368	724	680	675	841	244
ENSG00000205838	VPS8	365	704	804	1151	1269	506
ENSG00000187862	VPS9D1	168	176	320	226	210	158
None	VPS9D1-AS1	13	6	1	7	15	0
None	VRK1	124	396	229	429	631	258
ENSG00000018699	VRK2	493	1214	1963	801	696	460
ENSG00000100154	VRK3	25	148	44	147	164	61
ENSG00000235954	VRTN	4	4	2	0	0	0
ENSG00000137473	VSIG1	0	7	13	1	4	1
ENSG00000182670	VSIG10	34	24	47	17	25	8
None	VSIG10L	207	301	389	313	332	88
None	VSIG2	4	1	2	0	0	0
ENSG00000115282	VSIG4	129	4	0	1	69	0
ENSG00000183891	VSIG8	0	14	1	2	3	3
ENSG00000113638	VSNL1	3789	8268	19913	13011	23259	1430
ENSG00000215912	VSTM1	2	3	1	11	0	12
ENSG00000172425	VSTM2A	314	358	431	571	711	274
None	VSTM2A-OT1	31	25	89	43	87	123
ENSG00000075234	VSTM2B	69	111	69	147	102	107
ENSG00000085831	VSTM2L	469	661	231	398	578	761
ENSG00000261664	VSTM4	43	12	39	13	18	47
ENSG00000155158	VSTM5	0	7	1	5	1	0
ENSG00000168234	VSX1	4	6	0	10	45	6
ENSG00000264745	VSX2	1	0	0	0	0	2
ENSG00000215105	VTA1	419	810	1224	889	1168	373
ENSG00000243725	VTCN1	4	0	1	0	0	2
ENSG00000214198	VTI1A	57	161	258	281	282	113
ENSG00000136319	VTI1B	465	964	1602	835	1253	364
ENSG00000139865	VTN	21	161	480	95	190	4
ENSG00000068724	VTRNA1-1	11	3	6	0	2	0
ENSG00000165914	VTRNA1-2	23	0	0	1	0	0
ENSG00000165533	VTRNA1-3	105	14	15	26	9	2
ENSG00000133985	VTRNA2-1	2	2	1	0	0	0
ENSG00000174521	VWA1	48	66	55	37	34	23
ENSG00000162222	VWA2	2	3	4	0	1	7
ENSG00000125482	VWA3A	41	7	10	8	26	3
ENSG00000116830	VWA3B	11	6	1	0	2	0
ENSG00000101407	VWA5A	1881	3376	2230	1205	1256	1427
ENSG00000129696	VWA5B1	2	7	3	3	0	0
ENSG00000112742	VWA5B2	41	67	75	81	56	50
ENSG00000114999	VWA7	15	68	47	26	22	22
ENSG00000100271	VWA8	413	747	734	848	1157	305
ENSG00000162571	VWA8-AS1	1	10	12	0	18	4
ENSG00000175764	VWA9	69	274	332	178	257	202
ENSG00000100304	VWC2	219	208	476	458	800	246
None	VWC2L	12	29	70	17	54	7
ENSG00000120440	VWC2L-IT1	0	0	9	1	0	7
ENSG00000214021	VWCE	6	4	16	12	15	9
ENSG00000135912	VWDE	5	3	49	3	2	2
ENSG00000119685	VWF	140	87	18	44	56	125
ENSG00000170703	WAC	1346	2379	2173	2589	3411	1508
ENSG00000137941	WAC-AS1	141	223	385	461	327	291
ENSG00000131044	WAPL	148	280	284	232	274	234
ENSG00000155657	WARS	943	2422	2547	2703	3650	1156
ENSG00000237298	WARS2	30	77	178	100	128	26
ENSG00000137561	WARS2-IT1	1	0	0	0	0	0
ENSG00000124120	WAS	8	7	5	0	0	1
ENSG00000118271	WASF1	1392	1791	1891	2080	2225	1399
ENSG00000129845	WASF2	175	141	159	86	80	90
ENSG00000229236	WASF3	1734	2749	3679	3392	4107	2325
ENSG00000180910	WASH1	1	9	60	56	29	10
ENSG00000290381	WASH2P	18	15	20	14	20	21
ENSG00000237048	WASH3P	0	1	0	0	1	2
ENSG00000184991	WASH5P	0	0	0	0	0	0
ENSG00000176728	WASH7P	0	0	0	0	0	0
ENSG00000114374	WASIR2	1	0	5	3	1	0
ENSG00000290323	WASL	1807	2688	3792	3051	3668	2171
ENSG00000228240	WBP1	0	2	3	2	3	0
ENSG00000227439	WBP11	594	855	1366	1358	1470	726
ENSG00000223641	WBP11P1	16	40	24	32	24	11
ENSG00000227439	WBP1L	152	305	300	286	247	107
ENSG00000228240	WBP2	2258	4101	4498	3727	4462	2538
ENSG00000233699	WBP2NL	12	8	5	4	5	9
ENSG00000232419	WBP4	641	1604	2197	1803	1980	781
ENSG00000129816	WBP5	948	988	1293	1316	1263	376
ENSG00000212855	WBSCR16	199	212	215	169	172	153
ENSG00000232808	WBSCR17	189	271	296	427	369	218
None	WBSCR22	364	1133	1353	1081	1399	365
None	WBSCR27	19	12	26	56	1	0
ENSG00000224075	WBSCR28	0	0	0	0	0	0
ENSG00000239225	WDFY1	890	1062	1229	1145	1597	674
ENSG00000239225	WDFY2	83	62	70	46	72	45
ENSG00000250204	WDFY3	961	1452	1330	1553	1987	857
ENSG00000212856	WDFY3-AS2	36	73	136	103	78	22
ENSG00000231141	WDFY4	15	1	2	0	5	8
ENSG00000280961	WDHD1	14	26	49	22	18	53
ENSG00000226906	WDPCP	51	75	90	129	151	48
ENSG00000235412	WDR1	575	1047	1601	870	1126	390
ENSG00000228296	WDR11	492	663	990	1270	1343	456
ENSG00000215560	WDR11-AS1	23	18	98	2	21	14
ENSG00000131538	WDR12	116	338	361	349	458	164
ENSG00000131548	WDR13	272	343	413	471	432	241
ENSG00000147753	WDR17	451	1050	1241	1090	1454	531
ENSG00000147761	WDR18	105	189	577	386	228	114
ENSG00000183385	WDR19	203	278	371	311	336	297
ENSG00000185700	WDR20	165	201	268	280	410	126
ENSG00000290716	WDR24	37	96	256	134	95	93
ENSG00000131007	WDR25	66	124	169	175	190	195
ENSG00000167614	WDR26	810	1592	1844	1692	2229	1391
ENSG00000141540	WDR27	27	95	59	44	64	26
ENSG00000136295	WDR3	49	241	566	304	358	206
ENSG00000166402	WDR31	14	9	53	29	35	2
ENSG00000248332	WDR33	330	762	546	709	871	262
ENSG00000167552	WDR34	62	100	216	103	53	38
ENSG00000123416	WDR35	246	378	363	452	321	201
ENSG00000167553	WDR36	332	442	614	579	694	280
ENSG00000198033	WDR37	574	937	842	1176	1288	1138
ENSG00000075886	WDR38	18	37	15	24	25	8
ENSG00000152086	WDR4	30	49	41	55	101	22
ENSG00000284130	WDR41	316	707	642	737	1097	370
ENSG00000127824	WDR43	113	254	274	253	298	175
ENSG00000243910	WDR44	172	520	630	615	626	255
ENSG00000183785	WDR45	395	1068	1149	1034	1186	205
