	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
None	LOC339666	0	0	2	1	0	1
None	LOC339803	84	166	166	245	264	76
None	LOC339807	4	0	0	5	0	0
None	LOC339862	0	0	1	0	0	0
None	LOC339874	8	8	25	19	23	3
None	LOC339975	3	1	0	0	1	0
None	LOC340017	13	8	0	1	0	0
ENSG00000253281	LOC340074	0	4	0	0	0	1
None	LOC340107	2	0	2	0	0	0
None	LOC340113	0	0	0	0	0	4
None	LOC340357	2	0	0	0	0	1
None	LOC340512	4	0	0	0	1	2
None	LOC341056	5	2	10	7	5	11
ENSG00000226506	LOC343052	1	0	0	0	0	0
ENSG00000293636	LOC344887	3	0	0	0	0	1
ENSG00000283982	LOC344967	64	223	187	229	337	11
None	LOC349160	0	0	0	0	0	0
None	LOC374443	20	14	6	7	28	16
None	LOC375196	17	72	157	79	82	65
None	LOC387810	0	1	2	0	2	0
None	LOC388242	0	0	0	0	0	0
ENSG00000249635	LOC388282	0	0	0	0	0	0
None	LOC388406	0	0	0	0	0	0
None	LOC388436	0	0	0	0	0	0
ENSG00000259175	LOC388692	0	0	0	0	0	0
None	LOC388780	14	6	4	1	18	4
None	LOC388813	0	0	0	0	4	1
None	LOC388849	3	27	87	52	43	12
None	LOC388882	0	10	4	0	0	0
None	LOC388942	0	5	0	0	0	0
None	LOC389033	2	9	8	1	5	13
None	LOC389199	1	0	1	0	5	2
None	LOC389247	7	10	14	2	4	6
None	LOC389332	16	67	166	20	30	28
None	LOC389602	3	4	0	0	0	0
None	LOC389641	4	2	4	0	0	1
None	LOC389705	18	16	132	61	29	46
None	LOC389765	14	9	35	22	8	2
ENSG00000237654	LOC389831	2	0	6	13	19	0
ENSG00000273523	LOC389834	3	48	28	48	4	5
None	LOC389895	46	61	37	55	89	20
ENSG00000224504	LOC389906	22	21	83	31	18	27
None	LOC390705	0	0	0	0	0	0
None	LOC391003	0	0	0	0	0	0
None	LOC391322	0	0	0	0	0	0
None	LOC392196	0	0	0	0	0	1
None	LOC392232	2	0	0	0	0	1
ENSG00000277301	LOC392364	0	0	0	0	0	0
None	LOC392452	0	0	0	0	0	0
None	LOC399715	9	0	0	3	0	3
None	LOC399815	29	45	66	14	6	3
None	LOC399886	1	18	2	1	8	6
None	LOC400043	4	0	12	0	0	0
ENSG00000258471	LOC400541	0	0	0	2	0	0
None	LOC400548	4	0	2	0	0	0
None	LOC400553	0	0	0	0	0	6
None	LOC400558	1	0	0	0	0	0
None	LOC400620	2	0	0	0	0	0
None	LOC400655	9	2	0	0	0	1
None	LOC400661	0	13	0	9	6	0
None	LOC400684	10	10	4	17	12	1
None	LOC400685	3	1	0	0	0	0
None	LOC400706	4	1	0	0	0	4
None	LOC400736	0	0	0	0	0	0
None	LOC400794	1	0	0	2	0	1
None	LOC400867	2	1	0	2	0	2
None	LOC400927	2	1	0	2	2	0
None	LOC400927-CSNK1E	0	0	1	0	0	0
None	LOC400940	53	127	220	179	168	69
None	LOC400958	2	0	1	2	0	3
None	LOC400997	0	2	8	2	0	2
None	LOC401010	3	24	21	18	24	9
None	LOC401052	24	24	27	17	13	4
None	LOC401127	5	6	49	5	12	1
None	LOC401134	36	30	20	45	44	5
None	LOC401177	4	0	0	0	0	0
None	LOC401242	0	6	0	0	0	0
None	LOC401286	1	1	0	1	0	0
None	LOC401312	1	1	1	0	4	2
None	LOC401320	48	51	131	67	109	52
None	LOC401324	4	1	0	1	0	0
None	LOC401357	1	0	0	0	0	0
None	LOC401463	2	0	9	0	1	0
None	LOC401557	2	2	0	0	0	0
None	LOC401585	2	0	0	0	0	0
None	LOC403312	23	68	50	88	96	11
None	LOC403323	12	76	5	151	11	65
None	LOC407835	61	68	71	102	125	35
None	LOC414300	1	3	2	15	6	0
None	LOC439933	15	0	0	1	0	0
None	LOC439994	4	13	10	6	24	2
None	LOC440028	3	10	7	3	2	2
